"mturk_id","trial_type","stim_type","train_type","category_type","dimension","z"
133,"XAB","LD","TRAIN","BETWEEN","shape-relevant",-0.0876243270947157
133,"XAB","LD","TRAIN","WITHIN","shape-relevant",0.0707378780006997
134,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",0.00324475050596241
134,"Similarity","HD","TRAIN","WITHIN","shape-relevant",-0.0646468892670102
135,"XAB","LD","TRAIN","BETWEEN","shape-relevant",0.189287362623194
135,"XAB","LD","TRAIN","WITHIN","shape-relevant",0.133808539770302
136,"Same-Different","LD","CONTROL","BETWEEN","shape-relevant",0.47447947590743
136,"Same-Different","LD","CONTROL","WITHIN","shape-relevant",0.237811996269399
137,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.378974978930152
137,"Similarity","LD","TRAIN","WITHIN","shape-relevant",-0.140896873512236
138,"Same-Different","HD","TRAIN","BETWEEN","shape-relevant",0.170192716372819
138,"Same-Different","HD","TRAIN","WITHIN","shape-relevant",-0.438380802696401
139,"XAB","LD","TRAIN","BETWEEN","shape-relevant",-0.361159044986797
139,"XAB","LD","TRAIN","WITHIN","shape-relevant",-0.0396357800961051
140,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",-0.0313881725392945
140,"Similarity","HD","TRAIN","WITHIN","shape-relevant",-0.314693048493848
141,"XAB","LD","CONTROL","BETWEEN","shape-relevant",-0.199064397347045
141,"XAB","LD","CONTROL","WITHIN","shape-relevant",0.161043598261722
142,"Same-Different","LD","CONTROL","BETWEEN","shape-relevant",-0.210165733045443
142,"Same-Different","LD","CONTROL","WITHIN","shape-relevant",-0.393301282765348
143,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.0619079853529554
143,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.339773669611661
144,"XAB","LD","TRAIN","BETWEEN","shape-relevant",-0.228190779344813
144,"XAB","LD","TRAIN","WITHIN","shape-relevant",-0.124924515898181
145,"Same-Different","LD","TRAIN","BETWEEN","shape-relevant",0.423765015984995
145,"Same-Different","LD","TRAIN","WITHIN","shape-relevant",0.50828911585572
146,"XAB","LD","CONTROL","BETWEEN","shape-relevant",0.0589121289188992
146,"XAB","LD","CONTROL","WITHIN","shape-relevant",-0.315569925338117
147,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.0741437718857107
147,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.258855897098235
148,"XAB","LD","CONTROL","BETWEEN","shape-relevant",0.208704950621706
148,"XAB","LD","CONTROL","WITHIN","shape-relevant",0.033946658635098
149,"XAB","LD","TRAIN","BETWEEN","shape-relevant",-0.234912252113529
149,"XAB","LD","TRAIN","WITHIN","shape-relevant",-0.315569925338117
150,"Similarity","HD","TRAIN","BETWEEN","shape-relevant",-0.220571355278937
150,"Similarity","HD","TRAIN","WITHIN","shape-relevant",-0.254506649329799
151,"XAB","LD","CONTROL","BETWEEN","shape-relevant",0.249033787234
151,"XAB","LD","CONTROL","WITHIN","shape-relevant",-0.0735969056643525
152,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.00904492451111462
152,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.310185635747557
153,"XAB","HD","CONTROL","BETWEEN","shape-relevant",0.470842388601617
153,"XAB","HD","CONTROL","WITHIN","shape-relevant",0.208704950621706
154,"Similarity","HD","CONTROL","BETWEEN","shape-relevant",0.397174148723558
154,"Similarity","HD","CONTROL","WITHIN","shape-relevant",0.697307516114814
155,"Similarity","LD","TRAIN","BETWEEN","shape-relevant",0.267306778643906
155,"Similarity","LD","TRAIN","WITHIN","shape-relevant",-0.0270170269122231
156,"Same-Different","LD","CONTROL","BETWEEN","shape-relevant",0.373050556062559
156,"Same-Different","LD","CONTROL","WITHIN","shape-relevant",0.0252942594515764
157,"Similarity","LD","CONTROL","BETWEEN","shape-relevant",-0.735142618497761
157,"Similarity","LD","CONTROL","WITHIN","shape-relevant",-0.711538432111576
